full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,80766,80766,6693,96,96,11,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,92311,92311,12104,941,941,108,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,35023,35023,5627,208,208,24,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,30119,30119,2318,14,14,5,https://github.com/musistudio/claude-code-router
hesreallyhim/awesome-claude-code,29528,29528,2010,52,52,14,https://github.com/hesreallyhim/awesome-claude-code
davila7/claude-code-templates,23301,23301,2230,6,6,1,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,19710,19710,1714,129,129,8,https://github.com/shanraisshan/claude-code-best-practice
anthropics/claude-code-action,6417,6417,1573,0,0,0,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,14596,14596,1623,24,24,6,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9302,9302,1196,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8053,8053,578,7,7,0,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,6262,6262,862,8,8,0,https://github.com/Piebald-AI/claude-code-system-prompts
OneRedOak/claude-code-workflows,3725,3725,548,1,1,0,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5560,5560,486,2,2,1,https://github.com/ChrisWiles/claude-code-showcase
ykdojo/claude-code-tips,6452,6452,439,29,29,4,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,709,709,1293,4,4,3,https://github.com/pedrohcgs/claude-code-my-workflow
1rgs/claude-code-proxy,3272,3272,428,1,1,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3353,3353,580,2,2,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3683,3683,340,1,1,0,https://github.com/zebbern/claude-code-guide
kodu-ai/claude-coder,5288,5288,197,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2217,2217,368,2,2,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,7052,7052,342,6,6,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,98989,98989,10741,189,189,23,https://github.com/anthropics/skills
qwibitai/nanoclaw,24673,24673,7438,45,45,65,https://github.com/qwibitai/nanoclaw
fuergaosi233/claude-code-proxy,2201,2201,315,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,3909,3909,326,4,4,1,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2178,2178,283,4,4,0,https://github.com/RichardAtCT/claude-code-telegram
Cranot/claude-code-guide,2507,2507,263,2,2,1,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,617,617,590,1,1,0,https://github.com/anthropics/claude-code-base-action
ding113/claude-code-hub,2006,2006,235,6,6,0,https://github.com/ding113/claude-code-hub
router-for-me/CLIProxyAPI,18799,18799,3049,66,66,17,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,456,456,620,1,1,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1343,1343,276,1,1,0,https://github.com/edmund-io/edmunds-claude-code
FlorianBruniaux/claude-code-ultimate-guide,2044,2044,317,9,9,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
wshobson/agents,31886,31886,3481,24,24,1,https://github.com/wshobson/agents
Pimzino/claude-code-spec-workflow,3561,3561,249,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
sickn33/antigravity-awesome-skills,26278,26278,4479,55,55,9,https://github.com/sickn33/antigravity-awesome-skills
snarktank/ralph,13407,13407,1395,22,22,0,https://github.com/snarktank/ralph
eyaltoledano/claude-task-master,26028,26028,2451,7,7,0,https://github.com/eyaltoledano/claude-task-master
EveryInc/compound-engineering-plugin,10731,10731,858,15,15,0,https://github.com/EveryInc/compound-engineering-plugin
siteboon/claudecodeui,8729,8729,1112,8,8,3,https://github.com/siteboon/claudecodeui
zhukunpenglinyutong/idea-claude-code-gui,2060,2060,230,2,2,0,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
feiskyer/claude-code-settings,1341,1341,199,2,2,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,972,972,225,1,1,0,https://github.com/sugyan/claude-code-webui
obra/superpowers,102406,102406,8210,470,470,60,https://github.com/obra/superpowers
carlvellotti/claude-code-pm-course,1651,1651,248,2,2,1,https://github.com/carlvellotti/claude-code-pm-course
centminmod/my-claude-code-setup,2091,2091,208,0,0,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1483,1483,235,0,0,-1,https://github.com/lst97/claude-code-sub-agents
ghuntley/claude-code-source-code-deobfuscation,867,867,422,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
bfly123/claude_code_bridge,1732,1732,152,8,8,0,https://github.com/bfly123/claude_code_bridge
nishimoto265/Claude-Code-Communication,495,495,237,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
anthropics/claude-plugins-official,13791,13791,1378,66,66,10,https://github.com/anthropics/claude-plugins-official
darcyegb/ClaudeCodeAgents,611,611,53,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
trailofbits/claude-code-config,1638,1638,126,4,4,0,https://github.com/trailofbits/claude-code-config
Njengah/claude-code-cheat-sheet,1457,1457,184,1,1,0,https://github.com/Njengah/claude-code-cheat-sheet
rizethereum/claude-code-requirements-builder,1759,1759,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
steipete/claude-code-mcp,1186,1186,144,2,2,0,https://github.com/steipete/claude-code-mcp
wanshuiyin/Auto-claude-code-research-in-sleep,2913,2913,249,44,44,7,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
catlog22/Claude-Code-Workflow,1524,1524,124,13,13,1,https://github.com/catlog22/Claude-Code-Workflow
andrepimenta/claude-code-chat,1004,1004,155,0,0,0,https://github.com/andrepimenta/claude-code-chat
slopus/happy,15863,15863,1247,17,17,0,https://github.com/slopus/happy
disler/claude-code-hooks-multi-agent-observability,1283,1283,356,0,0,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
farion1231/cc-switch,31281,31281,1879,109,109,6,https://github.com/farion1231/cc-switch
